Time,CPU Usage (%),RAM Usage (%)
0.0,6.4,46.3
60.014060258865356,63.9,49.7
120.02707386016846,68.1,48.7
180.24409699440002,68.6,46.4
240.4080138206482,74.8,46.5
300.41577315330505,68.8,46.5
365.7975959777832,62.3,47.9
425.8044321537018,71.5,48.3
485.95815896987915,67.5,48.3
545.9793787002563,75.5,48.1
606.1763346195221,72.7,48.4
715.8524758815765,39.9,47.8
776.0468337535858,77.1,49.3
836.2170917987823,79.1,51.3
896.3972499370575,77.3,49.6
956.4131581783295,72.3,49.6
1016.4160242080688,75.2,49.5
1076.61488199234,77.8,49.3
1136.809114933014,75.1,48.6
1443.0651865005493,14.5,49.0
1503.2323410511017,74.4,50.0
1563.2339808940887,69.2,49.2
1623.2421169281006,71.8,49.2
1683.3966159820557,76.1,49.6
2304.7819418907166,7.3,66.5
2364.84734749794,80.5,60.2
2424.989706516266,75.5,62.0
2485.159996986389,74.2,63.2
2545.355551481247,72.9,61.0
2605.512127161026,78.4,61.4
2665.5459706783295,71.5,62.5
2725.752261400223,76.2,61.8
2785.913541316986,76.0,61.5
2845.922860145569,30.8,61.1
2905.930967569351,2.3,60.5
2965.943651199341,2.2,58.8
