Time,CPU Usage (%),RAM Usage (%)
0,1.9,66.1
5.014318466186523,3.5,67
10.014620065689087,1.2,67.1
15.017637968063354,1.6,66.3
20.02671194076538,4.7,68.6
25.033896446228027,9.6,72.4
30.03907012939453,8.6,74
35.05188989639282,7.8,71.5
40.05605197,7.7,71
45.071078300476074,8.4,72
50.07266688346863,8.4,78.1
55.07591104507446,9.2,82.9
60.08558654785156,18.3,87.2
65.09806394577026,15.7,84.4
70.10526394844055,16.8,85.2
75.11995077133179,15.2,86.6
80.12821173667908,16.7,83.6
85.13243675231934,16.4,86.1
90.14391756057739,16.7,83
95.14865088,16.9,85.7
100.15702724456787,15.3,83.8
105.17123889923096,18.7,89
110.17300057411194,20,88.4
115.17573642730713,19.3,85.2
120.18261241912842,16.8,86
125.19714069366455,17.6,85
130.2041335105896,17.4,85.3
135.20539617538452,18.3,84.8
140.20931816101074,17.2,83.8
145.21941232681274,17.7,85.5
150.2295436859131,16.8,84.1
155.23234581947327,20,87.2
160.24279475212097,18.1,83.2
165.24966430664062,18.3,82
170.25147151947021,18.7,84.2
175.2663812637329,15.6,82.8
180.27732181549072,20.1,86.9
185.28548860549927,21.7,79.7
190.29081630706787,22.1,86.3
195.29971551895142,20.5,87.1
200.30971670150757,21.1,87.6
205.32512497901917,22.8,84.5
210.33969473838806,20.5,85.4
215.34770369529724,18.4,84.8
220.35133576393127,20.6,81.5
225.35965204238892,20.1,86.2
230.36815690994263,21.4,85
235.3822340965271,19.5,84.5
240.3880431652069,22.1,84.8
245.39584851264954,20.1,81.2
250.3964605331421,22,83.9
255.40620589256287,19.5,82.5
260.4068651199341,19,83.1
265.41969752311707,21.8,82.3
270.4298515319824,36.1,83.7
275.4433081150055,21.3,81.4
280.4433424472809,19.7,81.7
285.45704984664917,14.4,80
290.4708616733551,15.9,86.3
295.47858572006226,23.1,78.3
300.4864091873169,23.4,80.7
305.49711561203003,28.6,86.7
310.5121033191681,23,84.7
315.5209891796112,19.8,84.5
320.52488589286804,26.8,86.7
325.5382638,23.8,84.6
330.55242681503296,24.2,86
335.56227135658264,24.8,83.7
340.5649812221527,20,85.5
345.57819151878357,21.6,86.8
350.58535289764404,25.2,81.8
355.58910059928894,21.6,84.2
360.5931911468506,24,86
365.5957374572754,24.1,83
370.6058843135834,27.5,83.5
375.61624097824097,22,85.6
380.6287875175476,26.2,85.1
385.6380992,25.4,85.3
390.6502363681793,19.5,85.1
395.6509110927582,23.9,87.2
400.6555211544037,23.9,85.3
405.65660643577576,30.1,85.5
410.6641571521759,27.9,86
415.6682324409485,30.5,85.8
420.6831805706024,21.3,87.1
425.69286012649536,23.9,84.7
430.70242953300476,23.9,87.4
435.7068784236908,21.5,86.1
440.71507811546326,21.4,84.7
445.7255902290344,23.3,86.5
450.7261633872986,20.5,84.7
455.7398045063019,16.8,69.2
460.7436628341675,0.1,69.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
