"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",0.474676661973561,1.01867221625849,0.465975859945426,0.990600416331102,0.479180761635076
"asc_air",1.62907327384263,0.827435250710435,1.96882266309528,0.81751318027518,1.9927180541533
"asc_rail",0.944533157284076,0.803550639212476,1.17544945046621,0.795160296758372,1.1878525136814
"b_tt_car",-0.003646077036958,0.00155450240111426,-2.34549463181562,0.00156813630941867,-2.3251021069142
"b_tt_bus",-0.00884617173115839,0.00262408609963255,-3.37114385553017,0.00261603824449558,-3.38151468151189
"b_tt_air",-0.0206849898018159,0.00659890693436752,-3.13460850524912,0.00642350814060837,-3.22020138357866
"b_tt_rail",-0.0112393540245655,0.00438598345544521,-2.56256188349544,0.00446775840438992,-2.51565841463629
"b_access",-0.011465759359973,0.00642985014186728,-1.78320786752321,0.0062965681797208,-1.82095373745026
"b_cost",-0.033947175059394,0.00329470722926034,-10.3035482964643,0.00317991822972186,-10.6754867914837
