Time,CPU Usage (%),RAM Usage (%)
0.0,1.9,61.4
5.005479574203491,1.6,62.1
10.014182806015015,0.9,61.8
15.021943807601929,3.6,63.1
20.03165030479431,8.0,69.9
25.04473876953125,8.3,69.6
30.05747938156128,7.7,68.7
35.07237100601196,8.2,69.4
40.08146142959595,8.8,63.8
45.094964027404785,7.7,69.8
50.10101294517517,9.3,72.8
55.11593747138977,13.1,81.6
60.12256479263306,18.5,82.3
65.12862634658813,13.8,80.6
70.14129853248596,13.3,80.3
75.15262985229492,13.5,81.2
80.16022396087646,13.3,82.4
85.17354202270508,15.1,81.4
90.17628359794617,15.1,80.9
95.17988300323486,19.3,79.6
100.18861031532288,18.7,81.9
105.20216226577759,15.9,81.6
110.20830988883972,17.7,81.8
115.21249103546143,21.5,81.3
120.21654176712036,24.5,83.0
125.21958112716675,16.6,83.3
130.2294499874115,18.0,83.0
135.2363018989563,21.1,78.4
140.23977065086365,16.3,84.7
145.2523922920227,17.5,79.0
150.25350952148438,22.2,81.8
155.2572500705719,16.8,81.2
160.27123141288757,15.7,83.7
165.28588247299194,18.9,79.2
170.29251885414124,19.5,83.1
175.30319690704346,20.7,77.8
180.30942702293396,19.6,80.8
185.31492638587952,20.8,84.4
190.32060074806213,19.5,82.3
195.33221983909607,18.0,83.6
200.33479046821594,18.9,80.8
205.3486363887787,18.6,77.5
210.35767936706543,36.5,84.0
215.36734342575073,36.5,83.6
220.37266421318054,15.2,82.6
225.37985467910767,19.1,83.4
230.38980388641357,16.8,79.0
235.39035034179688,18.1,85.2
240.3956425189972,16.8,84.6
245.4019055366516,26.0,84.0
250.4101402759552,31.0,84.4
255.41867518424988,20.3,83.0
260.423455953598,17.6,80.8
265.4376735687256,23.5,82.9
270.4426670074463,18.8,83.0
275.4465353488922,20.5,81.8
280.4473760128021,24.1,81.0
285.46086049079895,18.4,81.2
290.4733123779297,28.6,82.1
295.4820885658264,20.6,81.5
300.48515701293945,21.2,80.7
305.48965644836426,20.0,80.1
310.49029874801636,18.1,82.0
315.4991126060486,17.8,80.4
320.50547313690186,19.5,80.3
325.5101852416992,20.2,77.2
330.5252594947815,22.3,81.9
335.5284469127655,16.2,82.0
340.5312821865082,17.2,79.4
345.53342628479004,17.5,80.5
350.53969073295593,12.3,82.0
355.55400347709656,15.2,83.5
360.55711698532104,25.1,81.0
365.5583257675171,23.8,79.7
370.5604453086853,24.0,84.8
375.5689811706543,24.1,83.5
380.5804567337036,23.8,81.6
385.594486951828,27.1,82.8
390.6049454212189,23.9,81.7
395.608726978302,23.4,84.6
400.6207265853882,25.5,82.8
405.62116169929504,27.2,82.3
410.63339614868164,24.8,81.0
415.6375644207001,23.6,86.0
