"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",0.0624105953455656,0.538549842589372,0.11588638675576,0.533037105859017,0.117084898329897
"asc_air",0.687314859887297,0.337836194292884,2.0344618827059,0.327752276223859,2.09705594666215
"asc_rail",-1.03233131188564,0.325718563831663,-3.16939660958091,0.308244176888468,-3.34906995585893
"b_tt_car",-0.0116021848315516,0.000653223987998296,-17.7614188160859,0.000678314295452118,-17.1044380301883
"b_tt_bus",-0.0173684611402055,0.00145185225746775,-11.9629673411114,0.00146431211636567,-11.8611742306094
"b_tt_air",-0.0194833684850238,0.00258742844619676,-7.53001247770242,0.00247510470366648,-7.87173506484887
"b_tt_rail",-0.00636493070889886,0.00170412321285734,-3.73501790297584,0.00162342780257667,-3.92067371200406
"b_access",-0.0231926748812896,0.00268856126494788,-8.62642603077866,0.00264525938594451,-8.76763730790374
"b_cost",-0.0587559394328991,0.001486831256155,-39.5175573486692,0.00166002359082728,-35.3946412313441
"b_wifi",0.488517047070885,0.0295497118023096,16.5320410005725,0.0308867363565384,15.8164022715683
"b_food",-0.0394786681123435,0.0290710576416052,-1.35800591086316,0.0293623851777221,-1.34453205600943
